No. (NEW),Nama Perguruan Tinggi (NEW),Program Studi (NEW),Akreditasi (NEW REVISI),Program Studi  Kategori (NEW),Jenis Perguruan Tinggi (NEW),Provinsi (NEW),Lokasi (NEW),Daya Tampung 2025/2026 (NEW),Biaya UKT Terendah (REVISI),Biaya UKT Tertinggi (REVISI),Kisaran Biaya UKT (NEW),Biaya Lainnya Terendah (REVISI),Biaya Lainnya Tertinggi (REVISI)
29,Universitas Jambi,Ilmu Keperawatan,Baik Sekali,Keperawatan,Negeri,Jambi,Jambi,112,500000,6000000,Rp500.000 - Rp6.000.000,15000000,15000000
30,Universitas Jambi,Ilmu Kesehatan Masyarakat,Baik Sekali,Kesehatan Masyarakat,Negeri,Jambi,Jambi,210,500000,6000000,Rp500.000 - Rp6.000.001,10000000,10000000
31,Universitas Jambi,Psikologi,B,Psikologi,Negeri,Jambi,Jambi,63,500000,6000000,Rp500.000 - Rp6.000.002,20000000,20000000
32,Universitas Nusa Cendana,Pendidikan Dokter,Baik Sekali,Kedokteran,Negeri,Nusa Tenggara Timur,Kupang,77,500000,22000000,Rp500.000 - Rp22.000.000,200000000,220000000
33,Universitas Nusa Cendana,Kedokteran Hewan,Unggul ,Kedokteran Hewan,Negeri,Nusa Tenggara Timur,Kupang,56,500000,13500000,Rp500.000 - Rp13.500.000,12500000,15000000
34,Universitas Nusa Cendana,Farmasi,Baik,Farmasi,Negeri,Nusa Tenggara Timur,Kupang,35,500000,15000000,Rp500.000 - Rp15.000.000,17500000,20000000
35,Universitas Malikussaleh,Kedokteran,B,Kedokteran,Negeri,Aceh,Lhokseumawe,150,500000,18000000,Rp500.000 - Rp18.000.000,125000000,125000000
36,Universitas Malikussaleh,Psikologi,B,Psikologi,Negeri,Aceh,Lhokseumawe,195,500000,5000000,Rp500.000 - Rp5.000.000,2500000,2500000
37,Universitas Bengkulu,Kedokteran,Baik Sekali,Kedokteran,Negeri,Bengkulu,Bengkulu,60,500000,21500000,Rp500.000 - Rp21.500.000,125000000,125000000
38,Universitas Lambung Makurat,Kedokteran,Unggul ,Kedokteran,Negeri,Kalimantan Selatan,Banjarmasin,150,500000,39475000,Rp500.000 - Rp39.475.000,0,0
39,Universitas Lambung Makurat,Keperawatan,Unggul ,Keperawatan,Negeri,Kalimantan Selatan,Banjarmasin,120,500000,30052000,Rp500.000 - Rp30.052.000,0,0
40,Universitas Lambung Makurat,Kesehatan Masyarakat,Unggul ,Kesehatan Masyarakat,Negeri,Kalimantan Selatan,Banjarmasin,125,500000,23242000,Rp500.000 - Rp23.242.000,0,0
41,Universitas Lambung Makurat,Psikologi,Unggul ,Psikologi,Negeri,Kalimantan Selatan,Banjarmasin,120,500000,22273000,Rp500.000 - Rp22.273.000,0,0
42,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Kedokteran,A,Kedokteran,Negeri,DKI Jakarta,Jakarta,108,400000,65000000,Rp400.000 - Rp65.000.000,0,0
43,Universitas Wijaya Kusuma Surabaya,Pendidikan Dokter,Baik Sekali,Kedokteran,Swasta,Jawa Timur,Surabaya,110,30000000,30000000,Rp30.000.000 - Rp30.000.000,296150000,296150000
44,Universitas Brawijaya,Kedokteran,Unggul ,Kedokteran,Negeri,Jawa Timur,Malang,275,500000,33500000,Rp500.000 - Rp33.500.000,150000000,225000000
45,Universitas Brawijaya,Farmasi,Unggul ,Farmasi,Negeri,Jawa Timur,Malang,150,500000,12000000,Rp500.000 - Rp12.000.000,59100000,110000000
46,Universitas Brawijaya,Kebidanan,Unggul ,Kebidanan,Negeri,Jawa Timur,Malang,150,500000,12000000,Rp500.000 - Rp12.000.000,35000000,43000000
47,Universitas Katolik Widya Mandala,Kedokteran,Baik Sekali,Kedokteran,Swasta,Jawa Timur,Surabaya,100,27500000,27500000,Rp27.500.000 - Rp27.500.000,300000000,350000000
48,Universitas Hang Tuah,Kedokteran,Unggul ,Kedokteran,Swasta,Jawa Timur,Surabaya,2,34300000,34300000,Rp34.300.000 - Rp34.300.000,303800000,353800000
49,Universitas Methodist Indonesia,Kedokteran,Unggul ,Kedokteran,Swasta,Sumatera Utara,Medan,43,29310000,29310000,Rp29.310.000 - Rp29.310.000,1900000,1900000
50,Universitas Muhammadiyah Jakarta,Kedokteran,Unggul ,Kedokteran,Swasta,DKI Jakarta,Jakarta,153,31900000,112600000,Rp31.900.000 - Rp112.600.000,1000000,1000000
51,Universitas Muhammadiyah Jakarta,Kebidanan,Unggul ,Kebidanan,Swasta,DKI Jakarta,Jakarta,40,4525000,13800000,Rp4.525.000 - Rp13.800.000,500000,500000
52,Universitas Muhammadiyah Jakarta,Gizi,Unggul ,Gizi,Swasta,DKI Jakarta,Jakarta,30,3762000,10700000,Rp3.762.000 - Rp10.700.000,400000,400000
53,Universitas Alkhairaat,Kedokteran,Baik Sekali,Kedokteran,Swasta,Sulawesi Tengah,Palu,24,15500000,15500000,Rp15.500.000 - Rp15.500.000,300000000,300000000
54,Universitas Hkbp Nommensen,Kedokteran,Baik Sekali,Kedokteran,Swasta,Sumatera Utara,Medan,108,60000000,60000000,Rp60.000.000 - Rp60.000.000,80000000,80000000
55,Universitas Muhammadiyah Surakarta,Kedokteran,Unggul ,Kedokteran,Swasta,Jawa Tengah,Surakarta,235,24696000,25872000,Rp24.696.000 - Rp25.872.000,254100000,254100000
56,Universitas Mulawarman,Kedokteran ,Unggul ,Kedokteran,Negeri,Kalimantan Timur,Samarinda,150,1000000,20000000,Rp1.000.000 - Rp20.000.000,100000000,250000000
